league_id;name;country
1;World Cup;World
29;World Cup - Qualification Africa;World
30;World Cup - Qualification Asia;World
31;World Cup - Qualification CONCACAF;World
32;World Cup - Qualification Europe;World
37;World Cup - Qualification Intercontinental Play-offs;World
33;World Cup - Qualification Oceania;World
34;World Cup - Qualification South America;World
6;Africa Cup of Nations;World
36;Africa Cup of Nations - Qualification;World
7;Asian Cup;World
35;Asian Cup - Qualification;World
22;CONCACAF Gold Cup;World
858;CONCACAF Gold Cup - Qualification;World
536;CONCACAF Nations League;World
808;CONCACAF Nations League - Qualification;World
4;EURO Championship;World
960;EURO Championship - Qualification;World
5;UEFA Nations League;World
806;OFC Nations Cup;World
9;Copa America;World
860;Arab Cup;World
10;Friendlies;World
