canonical_team_name,country_code,confederation,api_football_team_name,api_football_team_id,elo_display_name,elo_slug
Spain,ESP,UEFA,Spain,9,Spain,Spain
Argentina,ARG,CONMEBOL,Argentina,26,Argentina,Argentina
France,FRA,UEFA,France,2,France,France
England,ENG,UEFA,England,10,England,England
Colombia,COL,CONMEBOL,Colombia,8,Colombia,Colombia
Brazil,BRA,CONMEBOL,Brazil,6,Brazil,Brazil
Portugal,PRT,UEFA,Portugal,27,Portugal,Portugal
Netherlands,NLD,UEFA,Netherlands,1118,Netherlands,Netherlands
Ecuador,ECU,CONMEBOL,Ecuador,2382,Ecuador,Ecuador
Croatia,HRV,UEFA,Croatia,3,Croatia,Croatia
Norway,NOR,UEFA,Norway,1090,Norway,Norway
Germany,DEU,UEFA,Germany,25,Germany,Germany
Switzerland,CHE,UEFA,Switzerland,15,Switzerland,Switzerland
Uruguay,URY,CONMEBOL,Uruguay,7,Uruguay,Uruguay
Turkey,TUR,UEFA,Türkiye,777,Turkey,Turkey
Japan,JPN,AFC,Japan,12,Japan,Japan
Senegal,SEN,CAF,Senegal,13,Senegal,Senegal
Denmark,DNK,UEFA,Denmark,21,Denmark,Denmark
Italy,ITA,UEFA,Italy,768,Italy,Italy
Mexico,MEX,CONCACAF,Mexico,16,Mexico,Mexico
Belgium,BEL,UEFA,Belgium,1,Belgium,Belgium
Paraguay,PRY,CONMEBOL,Paraguay,2380,Paraguay,Paraguay
Austria,AUT,UEFA,Austria,775,Austria,Austria
Morocco,MAR,CAF,Morocco,31,Morocco,Morocco
Canada,CAN,CONCACAF,Canada,5529,Canada,Canada
Ukraine,UKR,UEFA,Ukraine,772,Ukraine,Ukraine
Scotland,SCO,UEFA,Scotland,1108,Scotland,Scotland
South Korea,KOR,AFC,South Korea,17,South Korea,South_Korea
Russia,RUS,UEFA,Russia,4,Russia,Russia
Australia,AUS,AFC,Australia,20,Australia,Australia
Serbia,SRB,UEFA,Serbia,14,Serbia,Serbia
Greece,GRC,UEFA,Greece,1117,Greece,Greece
Iran,IRN,AFC,Iran,22,Iran,Iran
United States,USA,CONCACAF,USA,2384,United States,United_States
Nigeria,NGA,CAF,Nigeria,19,Nigeria,Nigeria
Poland,POL,UEFA,Poland,24,Poland,Poland
Panama,PAN,CONCACAF,Panama,11,Panama,Panama
Czechia,CZE,UEFA,Czech Republic,770,Czechia,Czechia
Chile,CHL,CONMEBOL,Chile,2383,Chile,Chile
Algeria,DZA,CAF,Algeria,1532,Algeria,Algeria
Uzbekistan,UZB,AFC,Uzbekistan,1568,Uzbekistan,Uzbekistan
Wales,WAL,UEFA,Wales,767,Wales,Wales
Venezuela,VEN,CONMEBOL,Venezuela,2379,Venezuela,Venezuela
Kosovo,KOS,UEFA,Kosovo,1111,Kosovo,Kosovo
Peru,PER,CONMEBOL,Peru,30,Peru,Peru
Hungary,HUN,UEFA,Hungary,769,Hungary,Hungary
Slovenia,SVN,UEFA,Slovenia,1091,Slovenia,Slovenia
Jordan,JOR,AFC,Jordan,1548,Jordan,Jordan
Ireland,IRL,UEFA,Rep. Of Ireland,776,Ireland,Ireland
Slovakia,SVK,UEFA,Slovakia,773,Slovakia,Slovakia
