stage,team_a,team_b,count,frequency
R32,Morocco,Netherlands,5649,0.5649
R32,Bosnia and Herzegovina,United States,5391,0.5391
R32,Mexico,Scotland,5240,0.524
R32,Austria,Spain,5187,0.5187
R32,France,Sweden,5177,0.5177
R32,Germany,Paraguay,4917,0.4917
R32,Argentina,Cape Verde,4722,0.4722
R32,Ivory Coast,Norway,4686,0.4686
R32,South Korea,Switzerland,4635,0.4635
R32,Croatia,Portugal,4155,0.4155
R32,Australia,Belgium,4119,0.4119
R32,Brazil,Japan,4068,0.4068
R32,Canada,South Korea,3566,0.3566
R32,Colombia,Ghana,3494,0.3494
R32,Japan,Morocco,3439,0.3439
R32,Brazil,Netherlands,3364,0.3364
R32,DR Congo,England,2557,0.2557
R32,Colombia,Croatia,2459,0.2459
R32,Argentina,Spain,2255,0.2255
R32,Australia,Germany,2209,0.2209
R32,England,Uzbekistan,2176,0.2176
R32,Argentina,Saudi Arabia,2042,0.2042
R32,France,Ivory Coast,1997,0.1997
R32,Qatar,United States,1991,0.1991
R32,Germany,Scotland,1970,0.197
R32,Ghana,Portugal,1800,0.18
R32,Algeria,Spain,1792,0.1792
R32,Norway,Sweden,1694,0.1694
R32,Belgium,Paraguay,1644,0.1644
R32,Canada,Iran,1523,0.1523
R32,Ivory Coast,Senegal,1486,0.1486
R32,Australia,Iran,1428,0.1428
R32,England,Portugal,1427,0.1427
R32,Canada,Egypt,1414,0.1414
R32,England,Senegal,1395,0.1395
R32,Croatia,DR Congo,1331,0.1331
R32,France,Japan,1302,0.1302
R32,Australia,Egypt,1279,0.1279
R32,Austria,Cape Verde,1227,0.1227
R32,Iran,Switzerland,1199,0.1199
R32,Brazil,Sweden,1102,0.1102
R32,Egypt,Switzerland,1059,0.1059
R32,Czechia,Egypt,1049,0.1049
R32,Brazil,Mexico,1001,0.1001
R32,Netherlands,Scotland,955,0.0955
R32,Colombia,Panama,925,0.0925
R32,Colombia,Senegal,895,0.0895
R32,Ecuador,Mexico,874,0.0874
R32,Egypt,Uruguay,854,0.0854
R32,Austria,Uruguay,849,0.0849
R32,South Africa,Switzerland,844,0.0844
R32,Argentina,Uruguay,835,0.0835
R32,Algeria,Canada,822,0.0822
R32,Mexico,Uruguay,810,0.081
R32,Croatia,Uzbekistan,789,0.0789
R32,Egypt,South Korea,731,0.0731
R32,Curaçao,Norway,729,0.0729
R32,Algeria,Switzerland,699,0.0699
R32,Canada,South Africa,671,0.0671
R32,Morocco,Sweden,652,0.0652
R32,Colombia,England,630,0.063
R32,Japan,Scotland,620,0.062
R32,England,Norway,543,0.0543
R32,Egypt,Paraguay,541,0.0541
R32,Iran,Paraguay,535,0.0535
R32,Egypt,Senegal,510,0.051
R32,Algeria,Belgium,502,0.0502
R32,Austria,Canada,498,0.0498
R32,Panama,Portugal,495,0.0495
R32,Cape Verde,Mexico,494,0.0494
R32,Senegal,United States,494,0.0494
R32,Ecuador,United States,478,0.0478
R32,Brazil,Germany,464,0.0464
R32,Belgium,Czechia,456,0.0456
R32,Belgium,Canada,454,0.0454
R32,Austria,Saudi Arabia,433,0.0433
R32,Algeria,United States,432,0.0432
R32,DR Congo,Ghana,431,0.0431
R32,Japan,Norway,411,0.0411
R32,Austria,Switzerland,409,0.0409
R32,Colombia,Norway,395,0.0395
R32,Algeria,Egypt,393,0.0393
R32,Algeria,Iran,378,0.0378
R32,Ivory Coast,Mexico,361,0.0361
R32,England,Iraq,354,0.0354
R32,Belgium,Switzerland,349,0.0349
R32,Colombia,Ecuador,345,0.0345
R32,France,Paraguay,338,0.0338
R32,Belgium,South Korea,336,0.0336
R32,Canada,Jordan,336,0.0336
R32,Australia,New Zealand,333,0.0333
R32,Cape Verde,Egypt,330,0.033
R32,Austria,Belgium,314,0.0314
R32,Portugal,Senegal,312,0.0312
R32,Czechia,Iran,309,0.0309
R32,Mexico,Spain,299,0.0299
R32,Ecuador,Norway,295,0.0295
R32,Algeria,Uruguay,295,0.0295
R32,Curaçao,France,266,0.0266
R32,Austria,Egypt,256,0.0256
R32,Belgium,Uruguay,252,0.0252
R32,Ecuador,England,245,0.0245
R32,Jordan,Switzerland,242,0.0242
R32,Iran,South Korea,240,0.024
R32,Germany,Sweden,240,0.024
R32,Egypt,Norway,232,0.0232
R32,Ghana,Uzbekistan,230,0.023
R32,Austria,United States,226,0.0226
R32,Curaçao,Senegal,217,0.0217
R32,Mexico,Saudi Arabia,216,0.0216
R32,Ecuador,Egypt,212,0.0212
R32,Algeria,England,210,0.021
R32,Colombia,Paraguay,200,0.02
R32,Norway,United States,194,0.0194
R32,Ivory Coast,United States,191,0.0191
R32,Austria,Iran,191,0.0191
R32,Egypt,France,185,0.0185
R32,Egypt,Spain,185,0.0185
R32,Curaçao,Mexico,181,0.0181
R32,Mexico,Morocco,181,0.0181
R32,Belgium,Jordan,180,0.018
R32,Colombia,Iraq,177,0.0177
R32,Iran,Uruguay,177,0.0177
R32,Egypt,Jordan,175,0.0175
R32,Mexico,Senegal,175,0.0175
R32,Colombia,Ivory Coast,173,0.0173
R32,Jordan,United States,167,0.0167
R32,Egypt,South Africa,165,0.0165
R32,Sweden,United States,156,0.0156
R32,DR Congo,Panama,152,0.0152
R32,Norway,Portugal,152,0.0152
R32,Scotland,Sweden,151,0.0151
R32,Jordan,Spain,151,0.0151
R32,Canada,New Zealand,146,0.0146
R32,Canada,Czechia,144,0.0144
R32,Australia,France,144,0.0144
R32,Ecuador,France,140,0.014
R32,Czechia,Switzerland,138,0.0138
R32,Egypt,Iraq,135,0.0135
R32,Iran,Jordan,131,0.0131
R32,Belgium,Senegal,131,0.0131
R32,Iraq,United States,129,0.0129
R32,Norway,Paraguay,128,0.0128
R32,Egypt,Saudi Arabia,121,0.0121
R32,New Zealand,Paraguay,121,0.0121
R32,Algeria,Cape Verde,119,0.0119
R32,Ecuador,Portugal,119,0.0119
R32,New Zealand,Switzerland,118,0.0118
R32,France,Iran,118,0.0118
R32,Canada,Ecuador,118,0.0118
R32,Belgium,Cape Verde,110,0.011
R32,Panama,Uzbekistan,108,0.0108
R32,Austria,England,106,0.0106
R32,Egypt,Ivory Coast,99,0.0099
R32,Ecuador,Senegal,97,0.0097
R32,Iran,Senegal,93,0.0093
R32,Ecuador,Switzerland,92,0.0092
R32,Iran,Norway,90,0.009
R32,Australia,Colombia,90,0.009
R32,Curaçao,United States,90,0.009
R32,Canada,Senegal,85,0.0085
R32,England,Ivory Coast,85,0.0085
R32,Mexico,Norway,83,0.0083
R32,Cape Verde,Iran,82,0.0082
R32,Germany,Morocco,79,0.0079
R32,Senegal,Sweden,79,0.0079
R32,Paraguay,Portugal,78,0.0078
R32,Belgium,South Africa,77,0.0077
R32,Belgium,Norway,75,0.0075
R32,Germany,Japan,74,0.0074
R32,England,Jordan,68,0.0068
R32,Colombia,Curaçao,67,0.0067
R32,Iraq,Ivory Coast,66,0.0066
R32,Iraq,Portugal,59,0.0059
R32,Belgium,Spain,59,0.0059
R32,Curaçao,Egypt,58,0.0058
R32,Iran,South Africa,56,0.0056
R32,Senegal,Switzerland,55,0.0055
R32,Belgium,Ecuador,53,0.0053
R32,Belgium,France,53,0.0053
R32,Canada,Sweden,52,0.0052
R32,DR Congo,Senegal,49,0.0049
R32,England,Uruguay,49,0.0049
R32,Australia,Norway,49,0.0049
R32,Ivory Coast,Switzerland,48,0.0048
R32,Canada,Ivory Coast,48,0.0048
R32,Iran,Spain,47,0.0047
R32,England,France,46,0.0046
R32,Algeria,Colombia,45,0.0045
R32,Ivory Coast,Portugal,44,0.0044
R32,Ecuador,Iran,43,0.0043
R32,Curaçao,England,42,0.0042
R32,France,Uruguay,40,0.004
R32,Ghana,Senegal,37,0.0037
R32,Argentina,Canada,36,0.0036
R32,Mexico,Sweden,35,0.0035
R32,Japan,United States,34,0.0034
R32,Iraq,Mexico,33,0.0033
R32,Panama,Senegal,33,0.0033
R32,Cape Verde,Jordan,32,0.0032
R32,Belgium,Saudi Arabia,32,0.0032
R32,Iran,Saudi Arabia,31,0.0031
R32,Austria,Colombia,31,0.0031
R32,Sweden,Switzerland,29,0.0029
R32,Algeria,Saudi Arabia,29,0.0029
R32,Canada,Norway,28,0.0028
R32,France,Netherlands,26,0.0026
R32,Canada,Curaçao,26,0.0026
R32,Belgium,Ivory Coast,26,0.0026
R32,Australia,Portugal,26,0.0026
R32,DR Congo,Norway,26,0.0026
R32,Croatia,Senegal,25,0.0025
R32,Jordan,Uruguay,23,0.0023
R32,Curaçao,Portugal,22,0.0022
R32,Cape Verde,England,22,0.0022
R32,Cape Verde,France,22,0.0022
R32,Czechia,Germany,22,0.0022
R32,France,New Zealand,21,0.0021
R32,Iran,Iraq,20,0.002
R32,Belgium,Iraq,20,0.002
R32,Norway,Switzerland,20,0.002
R32,Iraq,Switzerland,19,0.0019
R32,Ghana,Norway,18,0.0018
R32,Argentina,Switzerland,18,0.0018
R32,Curaçao,Switzerland,18,0.0018
R32,Iraq,Sweden,18,0.0018
R32,Curaçao,Iraq,18,0.0018
R32,Japan,Senegal,17,0.0017
R32,Colombia,France,17,0.0017
R32,France,Spain,17,0.0017
R32,Argentina,Egypt,17,0.0017
R32,Colombia,Jordan,15,0.0015
R32,Belgium,Curaçao,15,0.0015
R32,Argentina,United States,15,0.0015
R32,Argentina,Belgium,14,0.0014
R32,Algeria,Portugal,14,0.0014
R32,Norway,Uruguay,14,0.0014
R32,Ghana,Iraq,13,0.0013
R32,Canada,Iraq,12,0.0012
R32,Jordan,Portugal,12,0.0012
R32,Canada,Japan,12,0.0012
R32,Iran,Ivory Coast,12,0.0012
R32,France,Saudi Arabia,12,0.0012
R32,France,Portugal,12,0.0012
R32,Japan,Mexico,11,0.0011
R32,France,United States,10,0.001
R32,Germany,South Korea,10,0.001
R32,DR Congo,Ecuador,9,0.0009
R32,New Zealand,Norway,9,0.0009
R32,Senegal,Uzbekistan,9,0.0009
R32,Japan,Switzerland,9,0.0009
R32,Jordan,Saudi Arabia,9,0.0009
R32,Ecuador,Panama,9,0.0009
R32,Argentina,Iran,9,0.0009
R32,Cape Verde,Norway,9,0.0009
R32,Croatia,Ecuador,9,0.0009
R32,Ecuador,Ghana,9,0.0009
R32,Austria,Portugal,9,0.0009
R32,Norway,Panama,8,0.0008
R32,Croatia,Norway,8,0.0008
R32,Germany,South Africa,7,0.0007
R32,Paraguay,Senegal,7,0.0007
R32,DR Congo,Iraq,7,0.0007
R32,Canada,France,7,0.0007
R32,Curaçao,Iran,7,0.0007
R32,Netherlands,Norway,6,0.0006
R32,England,Spain,6,0.0006
R32,England,Saudi Arabia,6,0.0006
R32,Ghana,Ivory Coast,6,0.0006
R32,France,Mexico,6,0.0006
R32,Bosnia and Herzegovina,Germany,6,0.0006
R32,Croatia,Iraq,6,0.0006
R32,Iraq,Panama,6,0.0006
R32,Australia,DR Congo,5,0.0005
R32,Norway,Uzbekistan,5,0.0005
R32,DR Congo,Paraguay,4,0.0004
R32,Argentina,England,4,0.0004
R32,Norway,Saudi Arabia,3,0.0003
R32,DR Congo,France,3,0.0003
R32,Curaçao,DR Congo,3,0.0003
R32,Iraq,Japan,3,0.0003
R32,Ecuador,Iraq,3,0.0003
R32,Algeria,Croatia,3,0.0003
R32,Ivory Coast,Panama,3,0.0003
R32,Croatia,Curaçao,3,0.0003
R32,Austria,Croatia,2,0.0002
R32,Ghana,Jordan,2,0.0002
