match_idx,home_goals,away_goals,probability,home_team,away_team,stage,match_num
0,0,0,0.0515,Mexico,South Africa,Group,
0,0,1,0.0306,Mexico,South Africa,Group,
0,0,2,0.0091,Mexico,South Africa,Group,
0,0,3,0.0019,Mexico,South Africa,Group,
0,0,4,0.0004,Mexico,South Africa,Group,
0,0,5,0.0001,Mexico,South Africa,Group,
0,1,0,0.1267,Mexico,South Africa,Group,
0,1,1,0.0724,Mexico,South Africa,Group,
0,1,2,0.023,Mexico,South Africa,Group,
0,1,3,0.0038,Mexico,South Africa,Group,
0,1,4,0.0006,Mexico,South Africa,Group,
0,1,5,0.0001,Mexico,South Africa,Group,
0,2,0,0.142,Mexico,South Africa,Group,
0,2,1,0.0873,Mexico,South Africa,Group,
0,2,2,0.0293,Mexico,South Africa,Group,
0,2,3,0.005,Mexico,South Africa,Group,
0,2,4,0.0009,Mexico,South Africa,Group,
0,2,5,0.0001,Mexico,South Africa,Group,
0,3,0,0.1113,Mexico,South Africa,Group,
0,3,1,0.0695,Mexico,South Africa,Group,
0,3,2,0.0208,Mexico,South Africa,Group,
0,3,3,0.0052,Mexico,South Africa,Group,
0,3,4,0.0011,Mexico,South Africa,Group,
0,4,0,0.0642,Mexico,South Africa,Group,
0,4,1,0.0367,Mexico,South Africa,Group,
0,4,2,0.0118,Mexico,South Africa,Group,
0,4,3,0.0024,Mexico,South Africa,Group,
0,4,4,0.0003,Mexico,South Africa,Group,
0,4,5,0.0001,Mexico,South Africa,Group,
0,5,0,0.0323,Mexico,South Africa,Group,
0,5,1,0.0175,Mexico,South Africa,Group,
0,5,2,0.006,Mexico,South Africa,Group,
0,5,3,0.0007,Mexico,South Africa,Group,
0,5,4,0.0002,Mexico,South Africa,Group,
0,5,6,0.0001,Mexico,South Africa,Group,
0,6,0,0.0108,Mexico,South Africa,Group,
0,6,1,0.0082,Mexico,South Africa,Group,
0,6,2,0.0022,Mexico,South Africa,Group,
0,6,3,0.0009,Mexico,South Africa,Group,
0,6,4,0.0001,Mexico,South Africa,Group,
0,7,0,0.0044,Mexico,South Africa,Group,
0,7,1,0.004,Mexico,South Africa,Group,
0,7,2,0.0011,Mexico,South Africa,Group,
0,7,3,0.0001,Mexico,South Africa,Group,
0,8,0,0.0011,Mexico,South Africa,Group,
0,8,1,0.0005,Mexico,South Africa,Group,
0,8,2,0.0003,Mexico,South Africa,Group,
0,9,0,0.0005,Mexico,South Africa,Group,
0,9,1,0.0003,Mexico,South Africa,Group,
0,10,0,0.0001,Mexico,South Africa,Group,
0,10,1,0.0001,Mexico,South Africa,Group,
0,10,3,0.0001,Mexico,South Africa,Group,
0,11,1,0.0002,Mexico,South Africa,Group,
1,0,0,0.1028,South Korea,Czechia,Group,
1,0,1,0.1163,South Korea,Czechia,Group,
1,0,2,0.0683,South Korea,Czechia,Group,
1,0,3,0.0232,South Korea,Czechia,Group,
1,0,4,0.0084,South Korea,Czechia,Group,
1,0,5,0.0016,South Korea,Czechia,Group,
1,0,6,0.0001,South Korea,Czechia,Group,
1,1,0,0.1171,South Korea,Czechia,Group,
1,1,1,0.1377,South Korea,Czechia,Group,
1,1,2,0.0742,South Korea,Czechia,Group,
1,1,3,0.0248,South Korea,Czechia,Group,
1,1,4,0.0076,South Korea,Czechia,Group,
1,1,5,0.0025,South Korea,Czechia,Group,
1,1,6,0.0002,South Korea,Czechia,Group,
1,2,0,0.0691,South Korea,Czechia,Group,
1,2,1,0.0726,South Korea,Czechia,Group,
1,2,2,0.0458,South Korea,Czechia,Group,
1,2,3,0.0177,South Korea,Czechia,Group,
1,2,4,0.0045,South Korea,Czechia,Group,
1,2,5,0.0018,South Korea,Czechia,Group,
1,3,0,0.0216,South Korea,Czechia,Group,
1,3,1,0.0253,South Korea,Czechia,Group,
1,3,2,0.0196,South Korea,Czechia,Group,
1,3,3,0.0065,South Korea,Czechia,Group,
1,3,4,0.0013,South Korea,Czechia,Group,
1,3,5,0.0003,South Korea,Czechia,Group,
1,4,0,0.0074,South Korea,Czechia,Group,
1,4,1,0.0077,South Korea,Czechia,Group,
1,4,2,0.0048,South Korea,Czechia,Group,
1,4,3,0.0016,South Korea,Czechia,Group,
1,4,4,0.0006,South Korea,Czechia,Group,
1,5,0,0.0019,South Korea,Czechia,Group,
1,5,1,0.0023,South Korea,Czechia,Group,
1,5,2,0.0011,South Korea,Czechia,Group,
1,5,3,0.0004,South Korea,Czechia,Group,
1,5,4,0.0001,South Korea,Czechia,Group,
1,6,0,0.0005,South Korea,Czechia,Group,
1,6,1,0.0003,South Korea,Czechia,Group,
1,6,2,0.0001,South Korea,Czechia,Group,
1,7,2,0.0001,South Korea,Czechia,Group,
1,7,3,0.0001,South Korea,Czechia,Group,
1,8,2,0.0001,South Korea,Czechia,Group,
2,0,0,0.0806,Canada,Bosnia and Herzegovina,Group,
2,0,1,0.0592,Canada,Bosnia and Herzegovina,Group,
2,0,2,0.0224,Canada,Bosnia and Herzegovina,Group,
2,0,3,0.0063,Canada,Bosnia and Herzegovina,Group,
2,0,4,0.0012,Canada,Bosnia and Herzegovina,Group,
2,0,5,0.0001,Canada,Bosnia and Herzegovina,Group,
2,1,0,0.1446,Canada,Bosnia and Herzegovina,Group,
2,1,1,0.112,Canada,Bosnia and Herzegovina,Group,
2,1,2,0.0373,Canada,Bosnia and Herzegovina,Group,
2,1,3,0.0102,Canada,Bosnia and Herzegovina,Group,
2,1,4,0.0016,Canada,Bosnia and Herzegovina,Group,
2,1,5,0.0006,Canada,Bosnia and Herzegovina,Group,
2,2,0,0.1222,Canada,Bosnia and Herzegovina,Group,
2,2,1,0.0964,Canada,Bosnia and Herzegovina,Group,
2,2,2,0.0374,Canada,Bosnia and Herzegovina,Group,
2,2,3,0.0084,Canada,Bosnia and Herzegovina,Group,
2,2,4,0.002,Canada,Bosnia and Herzegovina,Group,
2,2,5,0.0004,Canada,Bosnia and Herzegovina,Group,
2,3,0,0.0713,Canada,Bosnia and Herzegovina,Group,
2,3,1,0.0547,Canada,Bosnia and Herzegovina,Group,
2,3,2,0.0211,Canada,Bosnia and Herzegovina,Group,
2,3,3,0.0072,Canada,Bosnia and Herzegovina,Group,
2,3,4,0.0015,Canada,Bosnia and Herzegovina,Group,
2,3,5,0.0001,Canada,Bosnia and Herzegovina,Group,
2,3,6,0.0001,Canada,Bosnia and Herzegovina,Group,
2,4,0,0.0323,Canada,Bosnia and Herzegovina,Group,
2,4,1,0.0215,Canada,Bosnia and Herzegovina,Group,
2,4,2,0.0081,Canada,Bosnia and Herzegovina,Group,
2,4,3,0.0029,Canada,Bosnia and Herzegovina,Group,
2,4,4,0.0005,Canada,Bosnia and Herzegovina,Group,
2,4,5,0.0002,Canada,Bosnia and Herzegovina,Group,
2,5,0,0.0111,Canada,Bosnia and Herzegovina,Group,
2,5,1,0.011,Canada,Bosnia and Herzegovina,Group,
2,5,2,0.0031,Canada,Bosnia and Herzegovina,Group,
